CategoryLetter,FullTitle,Author,FullKey,Tempo,TimeSignature,CcliSongNumber,PublicationYear,CopyrightHolder,PageNumber
#,"10,000 Reasons (Bless The Lord)","Jonas Myrin, Matt Redman",G,73,4/4,6016351,2011,Atlas Mountain Songs,1
A,All Glory Be To Christ,Dustin Kensrue,E,94,4/4,7008232,2012,We Are Younger We Are Faster Music,9
,All Heaven Declares,"Noel Richards, Tricia Richards",A,120,4/4,120556,1987,Thankyou Music,12
,All The Poor And Powerless,"David Leonard, Leslie Jordan",A,76,4/4,5881130,2011,Integrity's Alleluia! Music,13
,All To Us,"Chris Tomlin, Jesse Reeves",G (Ab),62,4/4,5869860,2010,sixsteps Music,17
,Amazing Grace,"John Newton, John P. Rees",G,90,3/4,22025,1779,Public Domain,21
,Amazing Grace (My Chains Are Gone),"Chris Tomlin, John Newton",F,60,4/4,4768151,2006,sixsteps Music,22
,Ancient Words,Lynn DeShazo,E,63,3/4,2986399,2001,Integrity's Hosanna! Music,25
,And Can It Be (Amazing Love),Charles Wesley,G,110,4/4,25280,1738,Public Domain,29
,Another In The Fire,"Chris Davenport, Joel Houston",C,67,4/4,7124907,2018,Hillsong Music Publishing Australia,33
,Are You Washed In The Blood,Elisha A. Hoffman,G (Ab),96,4/4,21105,1878,Public Domain,39
,Are You Washed In The Blood,Elisha A. Hoffman,G (Ab),96,4/4,21105,1878,Public Domain,39
,Are You Washed In The Blood,Elisha A. Hoffman,G (Ab),96,4/4,21105,1878,Public Domain,39
,As The Deer,Martin Nystrom,D,74,4/4,1431,1984,Universal Music,40
,At The Cross,"Isaac Watts, Ralph E. Hudson",D (Eb),82,4/4,29499,1707,Public Domain,41
,At The Cross (Love Ran Red),"Chris Tomlin, Ed Cash",G,72,4/4,7017786,2014,Countless Wonder Publishing,45
B,Beautiful One,Tim Hughes,D,122,4/4,3915912,2002,Thankyou Music,61
,Because He Lives,"Gloria Gaither, William J. Gaither",G (Ab),96,4/4,16880,1971,Hanna Street Music,65
,Before The Throne Of God Above,"Charitie L. Bancroft, Vikki Cook",D,76,3/4,2306412,1997,Sovereign Grace Worship,67
,Behold Our God,"Jonathan Baird, Meghan Baird",C,73,4/4,5937510,2011,Sovereign Grace Praise,69
,Behold The Lord,"Gerald Coates, Noel Richards",G,49,4/4,1101763,1991,Thankyou Music,71
,Better Is One Day,Matt Redman,E,77,4/4,1097451,1995,Thankyou Music,73
,Blessed Assurance,Fanny J. Crosby,D,66,9/8,22324,1873,Public Domain,76
,Blessed Be Your Name,"Beth Redman, Matt Redman",B,116,4/4,3798438,2002,Thankyou Music,77
,Break Every Chain,Will Reagan,F (F#),67,4/4,5910977,2009,Capitol CMG Genesis,81
,Break Every Chain,Will Reagan,F (F#),67,4/4,5910977,2009,Capitol CMG Genesis,81
,Broken Vessels (Amazing Grace),"Joel Houston, Jonas Myrin",G,70,4/4,7019974,2014,Hillsong Music Publishing Australia,85
,Broken Vessels (Amazing Grace),"Joel Houston, Jonas Myrin",G,70,4/4,7019974,2014,Hillsong Music Publishing Australia,85
,Build My Life,"Brett Younker, Karl Martin",G,70,4/4,7070345,2016,Kaple Music,89
,Build Your Kingdom Here,"Gareth Gilkeson, Chris Llewellyn",D,137,4/4,6186078,2011,Thankyou Music,93
C,Christ The Lord Is Risen Today,Charles Wesley,C,90,4/4,27965,1739,Public Domain,105
,Christ The Lord Is Risen Today (He Is Not Dead),"Charles Wesley, Samuel Arnold",C,118,4/4,7019316,2014,Integrity's Praise! Music,106
,Come Now Is The Time To Worship,Brian Doerksen,D,98,4/4,2430948,1998,Vineyard Songs,109
,Come Thou Fount,Robert Robinson,D,80,3/4,108389,1758,Public Domain,111
,Come Thou Fount,Robert Robinson,D,80,3/4,108389,1758,Public Domain,111
,Cornerstone,"Edward Mote, Eric Liljero",C,71,4/4,6158927,2011,Hillsong Music Publishing Australia,113
,Cornerstone,"Edward Mote, Eric Liljero",C,71,4/4,6158927,2011,Hillsong Music Publishing Australia,113
,Crown Him (Majesty),"Chris Tomlin, Ed Cash",D,76,4/4,6463818,2013,Alletrop Music,117
,Crown Him With Many Crowns,"Matthew Bridges, Godfrey Thring",D,92,4/4,23938,1851,Public Domain,121
D,Days Of Elijah,Robin Mark,A (Bb),95,4/4,1537904,1996,Song Solutions Daybreak,122
,Death Was Arrested,"Heath Balltzglier, Brandon Coker",B,52,6/8,7046448,2015,Seems Like Music,125
,Death Where Is Your Sting,"Cory Asbury, Anna Asbury",C,79,4/4,7102440,2017,Cory Asbury Publishing,129
,Do It Again,"Steven Furtick, Matt Redman",A (Bb),86,4/4,7067555,2016,Said And Done Music,133
E,Even So Come,"Chris Tomlin, Jason Ingram",G,163,6/8,7036288,2015,S. D. G. Publishing,137
,Ever Be,"Bobby Strand, Chris Greely",D,69,4/4,7030065,2014,Bethel Music Publishing,141
,Everlasting God,"Brenton Brown, Ken Riley",A (Bb),100,4/4,4556538,2005,Thankyou Music,145
F,Forever,Chris Tomlin,A,120,4/4,3148428,2001,sixsteps Music,153
,Forever,Chris Tomlin,A,120,4/4,3148428,2001,sixsteps Music,153
,Forever (We Sing Hallelujah),"Brian Johnson, Christa Black Gifford",A,73,4/4,7001228,2013,Kari Jobe Carnes Music,157
,Forgiven,"David Crowder, Ed Cash",B,76,4/4,7068806,2016,Alletrop Music,161
,From The Inside Out,Joel Houston,C,76,4/4,4705176,2005,Hillsong Music Publishing Australia,165
G,God Of This City,"Aaron Boyd, Andrew McCann",C,80,4/4,5037070,2006,sixsteps Music,177
,God Of Wonders,"Marc Byrd, Steve Hindalong",G (A),82,4/4,3118757,2000,Never Say Never Songs,181
,Good Good Father,"Anthony Brown, Pat Barrett",A,48,6/8,7036612,2014,Capitol CMG Paragon,185
,Gracefully Broken,"Matt Redman, Jonas Myrin",A,88,4/4,7091509,2017,Capitol CMG Genesis,189
,Great Are You Lord,"David Leonard, Jason Ingram",A,144,6/8,6460220,2012, Integrity's Alleluia! Music,193
,Great Are You Lord,"David Leonard, Jason Ingram",A,144,6/8,6460220,2012, Integrity's Alleluia! Music,193
,Great Are You Lord,"David Leonard, Jason Ingram",A,144,6/8,6460220,2012, Integrity's Alleluia! Music,193
,Great I Am,Jared Anderson,D,80,4/4,5881491,2011,Integrity Worship Music,197
,Great Is Thy Faithfulness,"Thomas Chisholm, William Runyan",D,75,3/4,18723,1923,Public Domain,201
,Great Is Thy Faithfulness (Beginning To End),"William Runyan, Thomas Chisholm",C,100,3/4,7109317,2018,Weave Country,205
H,He Reigns,"Peter Furler, Steve Taylor",G,94,4/4,4026635,2003,Soylent Tunes,217
,Healer,Mike Guglielmucci,B,80,4/4,4873981,2007,Planetshakers Ministries Int. Inc.,221
,"Heart Of Worship, The",Matt Redman,D,70,4/4,2296522,1999,Thankyou Music,225
,Here Again,"Steven Furtick, Chris Brown",C,68,4/4,7111925,2018,Elevation Worship Publishing,229
,Here For You,"Jesse Reeves, Matt Maher",G (Ab),85,4/4,5925649,2011,Chrysalis Music Ltd.,233
,Here I Am To Worship,Tim Hughes,E,75,4/4,3266032,2000,Thankyou Music,237
,Here Is Love,"Robert Lowry, William Rees",G,80,3/4,3287884,2004,Thankyou Music,241
,Holy (Wedding Day),"Aaron Powell, Elias Dummer",A (Bb),57,4/4,6129798,2011,Thankyou Music,245
,Holy Holy Holy,"John B. Dykes, Reginald Heber",D,0,4/4,1156,1826,Public Domain,248
,Hosanna,Carl Tuttle,G,120,4/4,21545,1985,Shadow Spring Music,249
,Hosanna (I See The King Of Glory),Brooke Ligertwood,E,75,4/4,4785835,2006,Hillsong Music Publishing Australia,250
,Hosanna (Praise Is Rising),"Brenton Brown, Paul Baloche",G,114,4/4,4662491,2006,Thankyou Music,253
,How Deep The Father's Love For Us,Stuart Townend,D,54,4/4,1558110,1995,Thankyou Music,257
,How Firm A Foundation,George Keith,G (Ab),64,2/2,107816,1787,Public Domain,258
,How Firm A Foundation,George Keith,G (Ab),64,2/2,107816,1787,Public Domain,258
,How Great Is Our God,"Chris Tomlin, Ed Cash",C,76,4/4,4348399,2004,sixsteps Music,259
,How Great Is Our God,"Chris Tomlin, Ed Cash",C,76,4/4,4348399,2004,sixsteps Music,259
,How Great Thou Art,Stuart W. K. Hine,B (Bb),48,4/4,14181,1953,Stuart Hine Trust,261
I,I Lift My Hands,"Chris Tomlin, Louie Giglio",B,85,4/4,5869884,2010,sixsteps Music,273
,I Stand Amazed (My Savior's Love),Charles H. Gabriel,G (Ab),106,4/4,25297,1905,Public Domain,277
,I Stand In Awe,Mark Altrogge,A,76,4/4,23914,1987,Sovereign Grace Praise,278
,I Surrender All,"Judson DeVenter, Winfield Weeden",D,74,4/4,23189,1896,Public Domain,280
,I Will Follow,"Chris Tomlin, Jason Ingram",A (Bb),96,4/4,5806878,2010,SHOUT! Music Publishing Australia,281
,I Will Rise,"Chris Tomlin, Jesse Reeves",B,82,4/4,5183450,2008,sixsteps Music,285
,I Will Sing Of My Redeemer,"Travis Cottrell, Philip Paul Bliss",D (Eb),66,9/8,7074703,1876,Public Domain,289
,I Will Sing The Wondrous Story,Francis H. Rawley,F,120,3/4,2328610,1886,Public Domain,293
,I'll Fly Away,Albert E. Brumley,G,120,4/4,26399,1932,Hartford Music Company,295
,In Christ Alone,"Keith Getty, Stuart Townend",D,60,3/4,3350395,2001,Thankyou Music,297
,In Christ Alone,"Keith Getty, Stuart Townend",D,60,3/4,3350395,2001,Thankyou Music,297
,In Christ Alone,"Keith Getty, Stuart Townend",D,60,3/4,3350395,2001,Thankyou Music,297
,Indescribable,"Jesse Reeves, Laura Story",G (Bb),60,6/8,4403076,2004,Laura Stories,301
,It Is Well (Grander Earth),"Kristene DiMarco, Horatio Spafford",G,65,3/4+4/4,7021972,2013,Bethel Music Publishing,305
,It Is Well With My Soul,Horatio G. Spafford,C,0,4/4,25376,1873,Public Domain,308
J,Jesus Messiah,"Chris Tomlin, Daniel Carson",B,86,4/4,5183443,2008,sixsteps Music,317
,Jesus Paid It All,Elvina M. Hall,C (Db),76,3/4,22331,1865,Public Domain,320
,Jesus Son Of God,"Chris Tomlin, Jason Ingram",B,76,4/4,6223539,2012,S. D. G. Publishing,321
,Just As I Am,Charlotte Elliot,C (Db),86,6/4,23206,1835,Public Domain,325
,Just As I Am,Charlotte Elliot,C (Db),86,6/4,23206,1835,Public Domain,325
,Just As I Am (I Come Broken),"Charlotte Elliott, David Moffitt",A,73,3/4,5635850,2009,CCTB Music,326
,Just As I Am (I Come Broken),"Charlotte Elliott, David Moffitt",A,73,3/4,5635850,2009,CCTB Music,326
K,King Of Kings,"Brooke Ligertwood, Scott Ligertwood",D,68,4/4,7127647,2019,Hillsong Music Publishing Australia,329
,King Of My Heart,"John M. McMillan, Sarah McMillan",A (Bb),68,4/4,7046145,2015,Meaux Jeaux Music,333
,Knowing You (All I Once Held Dear),Graham Kendrick,C,54,4/4,1045238,1993,Make Way Music,337
L,Lead Me To The Cross (Quiet I Come),Brooke Ligertwood,D,75,4/4,4785828,2006,Hillsong Music Publishing Australia,345
,Like A River Glorious,James Mountain,F,0,4/4,33935,1874,Public Domain,348
,"Lion And The Lamb, The","Brenton Brown, Brian Johnson",B,90,4/4,7038281,2015,Meaux Mercy,349
,Living Hope,"Phil Wickham, Brian Johnson",D (Eb),72,4/4,7106807,2017,Phil Wickham Music,353
,Lord I Lift Your Name On High,Rick Founds,G,86,4/4,117947,1989,Universal Music,357
,Lord I Need You,"Christy Nockels, Daniel Carson",B,74,4/4,5925687,2011,sixsteps Music,361
,"Lord Is My Salvation, The","Jonas Myrin, Keith Getty",A,69,4/4,7063694,2016,Capitol CMG Paragon,365
,"Lord Our God, The","Jason Ingram, Kristian Stanfill",C,72,4/4,6518055,2013,sixsteps Music,369
,"Love Of God, The",Frederick M. Lehman,D,82,3/4,18448,1917,Public Domain,371
,"Love Of God, The",Frederick M. Lehman,D,82,3/4,18448,1917,Public Domain,371
,"Love Of God, The",Frederick M. Lehman,D,82,3/4,18448,1917,Public Domain,371
M,Man Of Sorrows,"Brooke Ligertwood, Matt Crocker",F,72,4/4,6476063,2012,Hillsong Music Publishing Australia,377
,Mercy,"Matt Redman, Jonas Myrin",C,73,4/4,7000689,2013,Atlas Mountain Songs,381
,Mighty To Save,"Ben Fielding, Reuben Morgan",A,74,4/4,4591782,2006,Hillsong Music Publishing Australia,385
,Mine Eyes Have Seen The Glory (Battle Hymn),Julia W. Howe,G (Bb),90,4/4,24133,1862,Public Domain,389
,Mountain,"Matt Crocker, Joel Houston",D,76,4/4,6428853,2012,Hillsong Music Publishing Australia,393
,Mountain,"Matt Crocker, Joel Houston",D,76,4/4,6428853,2012,Hillsong Music Publishing Australia,393
,Mountain,"Matt Crocker, Joel Houston",D,76,4/4,6428853,2012,Hillsong Music Publishing Australia,393
,Mountain (You're Wonderful),"Bryan Torwalt, Katie Torwalt",B,91,4/4,7065990,2016,Phil Wickham Music,397
,My Lighthouse,"Gareth Gilkeson, Chris Llewellyn",C,110,4/4,7002032,2013,Thankyou Music,401
,My Redeemer Lives,Reuben Morgan,E,138,4/4,2397964,1998,Hillsong Music Publishing Australia,405
N,Nearer My God To Thee,Sarah F. F. Adams,F,100,4/4,78835,1841,Public Domain,407
,New Wine,Brooke Ligertwood,A (Bb),77,4/4,7102397,2017,Hillsong Music Publishing Australia,409
,No Longer Slaves,"Jonathan D. Helser, Brian Johnson",A (Bb),74,4/4,7030123,2014,Bethel Music Publishing,413
O,O Praise The Name,"Benjamin Hastings, Dean Ussher",C,72,4/4,7037787,2015,Hillsong Music Publishing Australia,425
,O The Deep Deep Love Of Jesus,Samuel T. Francis,Em,72,4/4,137178,1875,Public Domain,429
,Oceans (Where Feet May Fail),"Joel Houston, Matt Crocker",D,60,4/4,6428767,2012,Hillsong Music Publishing Australia,433
,Oh What Love,"Aaron Powell, Elias Dummer",D,70,4/4,7044259,2015,Thankyou Music,437
,Once Again,Matt Redman,D (Eb),71,4/4,1564362,1995,Thankyou Music,441
,One Thing Remains (Your Love Never Fails),"Brian Johnson, Christa B. Gifford",G (Bb),78,4/4,5508444,2010,ChristaJoy Music Publishing,445
,Onward Christian Soldiers,Sabine B. Gould,F,96,4/4,47017,1865,Public Domain,449
,Open The Eyes Of My Heart,Paul Baloche,E,112,4/4,2298355,1997,Integrity's Hosanna! Music,451
,Our God (Water You Turned Into Wine),"Chris Tomlin, Jesse Reeves",B,105,4/4,5677416,2010,Atlas Mountain Songs,453
,Our God (Water You Turned Into Wine),"Chris Tomlin, Jesse Reeves",B,105,4/4,5677416,2010,Atlas Mountain Songs,453
,Our God (Water You Turned Into Wine),"Chris Tomlin, Jesse Reeves",B,105,4/4,5677416,2010,Atlas Mountain Songs,453
P,"Power Of The Cross, The","Keith Getty, Stuart Townend",A,68,4/4,4490766,2005,Thankyou Music,458
,"Power Of Your Love, The",Geoff Bullock,A (Bb),85,4/4,917491,1992,Geoff Bullock Music,461
,Praise You In This Storm,"Bernie Herms, Mark Hall",F (F#),84,4/4,4543620,2005,My Refuge Music,465
R,Reckless Love,"Cory Asbury, Caleb Culver",F (F#),56,6/8,7089641,2017,Cory Asbury Publishing,469
,Resurrecting,"Chris Brown, Mack Brock",C (Db),74,4/4,7051507,2015,Elevation Worship Publishing,473
,Revelation Song,Jennie L. Riddle,D,60,4/4,4447960,2004,Gateway Create Publishing,477
,Rooftops,"Lindsey Sweat, Ben Williams",E,100,4/4,5875153,2010,Capitol CMG Amplifier,481
S,Shout To The Lord,Darlene Zschech,A,76,4/4,1406918,1993,Wondrous Worship,489
,So Will I (100 Billion X),"Joel Houston, Benjamin Hastings",A,64,2/2,7084123,2017,Hillsong Music Publishing Australia,493
,"Solid Rock, The",Edward Mote,F,82,3/4,25417,1834,Public Domain,498
,"Stand, The",Joel Houston,A,77,4/4,4705248,2005,Hillsong Music Publishing Australia,499
,"Stand, The",Joel Houston,A,77,4/4,4705248,2005,Hillsong Music Publishing Australia,499
,Still (Hide Me Now),Reuben Morgan,C,70,4/4,3940963,2002,Hillsong Music Publishing Australia,501
,Still (Hide Me Now),Reuben Morgan,C,70,4/4,3940963,2002,Hillsong Music Publishing Australia,501
,Stronger,"Ben Fielding, Reuben Morgan",C,75,3/4,5060810,2007,Hillsong Music Publishing Australia,505
,Sweetly Broken,Jeremy Riddle,B,96,4/4,4514635,2005,Mercy / Vineyard Publishing,509
T,There Is A Redeemer,Melody Green,D,92,4/4,11483,1982,Universal Music,516
,This Is Amazing Grace,"Jeremy Riddle, Josh Farro",G (Bb),100,4/4,6333821,2012,Phil Wickham Music,517
,This Is My Father's World,"Aaron Purdy, Franklin L. Sheppard",D,66,4/4,6167640,2009,Jennie Lee Riddle Music,525
,Tis So Sweet To Trust In Jesus,Lousa M. R. Stead,G,90,4/4,22609,1882,Public Domain,529
,Tis So Sweet To Trust In Jesus,Lousa M. R. Stead,G,90,4/4,22609,1882,Public Domain,529
,To God Be The Glory,Fanny Jane Crosby,G,90,3/4,23426,1875,Public Domain,530
,To God Be The Glory,Fanny Jane Crosby,G,90,3/4,23426,1875,Public Domain,530
,Tremble,"Andres Figueroa, Hank Bentley",C,74,4/4,7065049,2016,All Essential Music,533
,Trust And Obey,John H. Sammis,F,96,3/4,22094,1887,Public Domain,535
V,Victor's Crown,"Darlene Zschech, Israel Houghton",C,75,4/4,6454621,2013,Worship Together Music,537
,Victory In Jesus (I Heard An Old Old Story),Eugene M. Bartlett,G,124,4/4,1259,1939,Public Domain,542
W,What A Beautiful Name,"Ben Fielding, Brooke Ligertwood",D,68,4/4,7068424,2016,Hillsong Music Publishing Australia,553
,What A Friend We Have In Jesus,"Charles Converse, Joseph Scriven",F,0,4/4,27714,1855,Public Domain,556
,When I Survey The Wondrous Cross,Isaac Watts,F,96,4/4,27893,1707,Public Domain,557
,When The Roll Is Called Up Yonder,James M. Black,G (Ab),108,4/4,31315,1893,Public Domain,558
,Who Am I,Mark Hall,B,66,4/4,4196651,2003,My Refuge Music,561
,Who You Say I Am,"Ben Fielding, Reuben Morgan",A,58,6/8,7102401,2017,Hillsong Music Publishing Australia,565
,Whom Shall I Fear (God Of Angel Armies),"Chris Tomlin, Ed Cash",C,75,4/4,6440288,2012,Alletrop Music,569
,"Wonderful Cross, The","Chris Tomlin, Isaac Watts",D,88,4/4,3148435,2000,sixsteps Music,573
,Wonderful Merciful Savior,"Dawn Rodgers, Eric Wyse",C,110,3/4,106879,1989,Curb Dayspring Music,575
,Wonderful Merciful Savior,"Dawn Rodgers, Eric Wyse",C,110,3/4,106879,1989,Curb Dayspring Music,575
,Wonderful Merciful Savior,"Dawn Rodgers, Eric Wyse",C,110,3/4,106879,1989,Curb Dayspring Music,575
Y,You Are Holy (Prince Of Piece),"Marc Imboden, Tammi Rhoton",G,108,4/4,2332149,1994,Imboden Music,585
,You Are My All In All,Dennis Jernigan,F,80,4/4,825356,1991,"Shepherd's Heart Music, Inc.",589
,You Are My King (Amazing Love),Billy J. Foote,E,70,4/4,2456623,1996,worshiptogether.com songs,590
,Your Grace Is Enough,Matt Maher,G,116,4/4,4477026,2003,Thankyou Music,593
,Your Grace Is Enough,Matt Maher,G,116,4/4,4477026,2003,Thankyou Music,593
,Your Great Name,"Krissy Nordhoff, Michael Neale",C,75,4/4,5393329,2008,Integrity's Praise! Music,597
,Your Great Name,"Krissy Nordhoff, Michael Neale",C,75,4/4,5393329,2008,Integrity's Praise! Music,597
,Your Love Never Fails,"Anthony Skinner, Chris McClarney",A (Bb),116,4/4,5337172,2008,Thankyou Music,601
,Your Presence Is Heaven,"Israel Houghton, Micah Massey",D,66,4/4,6214751,2012,Integrity Worship Music,605
