CategoryLetter,FullTitle,Author,Key,Tempo,TimeSignature,CcliSongNumber,PublicationYear,CopyrightHolder,PageNumber
#,"10,000 Reasons (Bless The Lord)","Jonas Myrin, Matt Redman",G,73,4/4,6016351,2011,Atlas Mountain Songs,
A,A Mighty Fortress Is Our God,Martin Luther,C,120,4/4,42964,1529,Public Domain,
,Above All,"Lenny LeBlanc, Paul Baloche",A,62,4/4,2672885,1999,Integrity's Hosanna! Music,
,All Glory Be To Christ,Dustin Kensrue,E,94,4/4,7008232,2012,We Are Younger We Are Faster Music,
,All Heaven Declares,"Noel Richards, Tricia Richards",A,120,4/4,120556,1987,Thankyou Music,
,All The Poor And Powerless,"David Leonard, Leslie Jordan",A,76,4/4,5881130,2011,Integrity's Alleluia! Music,
,All To Us,"Chris Tomlin, Jesse Reeves",G,62,4/4,5869860,2010,sixsteps Music,
,Amazing Grace,"John Newton, John P. Rees",G,90,3/4,22025,1779,Public Domain,
,Amazing Grace (My Chains Are Gone),"Chris Tomlin, John Newton",F,60,4/4,4768151,2006,sixsteps Music,
,Ancient Words,Lynn DeShazo,E,63,3/4,2986399,2001,Integrity's Hosanna! Music,
,And Can It Be (Amazing Love),Charles Wesley,G,110,4/4,25280,1738,Public Domain,
,Another In The Fire,"Chris Davenport, Joel Houston",C,67,4/4,7124907,2018,Hillsong Music Publishing Australia,
,Are You Washed In The Blood,Elisha A. Hoffman,G,96,4/4,21105,1878,Public Domain,
,As The Deer,Martin Nystrom,D,74,4/4,1431,1984,Universal Music,
,At The Cross,"Isaac Watts, Ralph E. Hudson",D,82,4/4,29499,1707,Public Domain,
,At The Cross (Love Ran Red),"Chris Tomlin, Ed Cash",G,72,4/4,7017786,2014,Countless Wonder Publishing,
B,Be Enthroned,"Brian Johnson, Hunter Thompson",C,70,4/4,7054178,2015,Bethel Music Publishing,
,Be Thou My Vision,"Eleanor H. Hull, Mary E. Byrne",D,,3/4,30639,1912,Public Domain,
,Beautiful One,Tim Hughes,D,122,4/4,3915912,2002,Thankyou Music,
,Because He Lives,"Gloria Gaither, William J. Gaither",G,96,4/4,16880,1971,Hanna Street Music,
,Before The Throne Of God Above,"Charitie L. Bancroft, Vikki Cook",D,76,3/4,2306412,1997,Sovereign Grace Worship,
,Behold Our God,"Jonathan Baird, Meghan Baird",C,73,4/4,5937510,2011,Sovereign Grace Praise,
,Behold The Lord,"Gerald Coates, Noel Richards",G,49,4/4,1101763,1991,Thankyou Music,
,Better Is One Day,Matt Redman,E,77,4/4,1097451,1995,Thankyou Music,
,Blessed Assurance,Fanny J. Crosby,D,66,9/8,22324,1873,Public Domain,
,Blessed Be Your Name,"Beth Redman, Matt Redman",B,116,4/4,3798438,2002,Thankyou Music,
,Break Every Chain,Will Reagan,F,67,4/4,5910977,2009,Capitol CMG Genesis,
,Broken Vessels (Amazing Grace),"Joel Houston, Jonas Myrin",G,70,4/4,7019974,2014,Hillsong Music Publishing Australia,
,Build My Life,"Brett Younker, Karl Martin",G,70,4/4,7070345,2016,Kaple Music,
,Build Your Kingdom Here,"Gareth Gilkeson, Chris Llewellyn",D,137,4/4,6186078,2011,Thankyou Music,
C,Came To My Rescue,"Dylan Thoma, Joel Davies",C,83,4/4,4705190,2005,Hillsong Music Publishing Australia,
,Christ Is Enough,"Jonas Myrin, Reuben Morgan",B,82,4/4,6514035,2012," Hillsong Music Publishing Australia",
,Christ The Lord Is Risen Today,Charles Wesley,C,90,4/4,27965,1739,Public Domain,
,Christ The Lord Is Risen Today (He Is Not Dead),"Charles Wesley, Samuel Arnold",C,118,4/4,7019316,2014,Integrity's Praise! Music,
,Come Now Is The Time To Worship,Brian Doerksen,D,98,4/4,2430948,1998,Vineyard Songs,
,Come Thou Fount,Robert Robinson,D,80,3/4,108389,1758,Public Domain,
,Cornerstone,"Edward Mote, Eric Liljero",C,71,4/4,6158927,2011,Hillsong Music Publishing Australia,
,Crown Him (Majesty),"Chris Tomlin, Ed Cash",D,76,4/4,6463818,2013,Alletrop Music,
,Crown Him With Many Crowns,"Matthew Bridges, Godfrey Thring",D,92,4/4,23938,1851,Public Domain,
D,Days Of Elijah,Robin Mark,A,95,4/4,1537904,1996,Song Solutions Daybreak,
,Death Was Arrested,"Heath Balltzglier, Brandon Coker",B,52,6/8,7046448,2015,Seems Like Music,
,Death Where Is Your Sting,"Cory Asbury, Anna Asbury",C,79,4/4,7102440,2017,Cory Asbury Publishing,
,Do It Again,"Steven Furtick, Matt Redman",A,86,4/4,7067555,2016,Said And Done Music,
E,Even So Come,"Chris Tomlin, Jason Ingram",G,163,6/8,7036288,2015,S. D. G. Publishing,
,Ever Be,"Bobby Strand, Chris Greely",D,69,4/4,7030065,2014,Bethel Music Publishing,
,Everlasting God,"Brenton Brown, Ken Riley",A,100,4/4,4556538,2005,Thankyou Music,
F,Faithful,"Chris Tomlin, Christy Nockels",F,66,4/4,5869877,2010,sixsteps Music,
,Forever,Chris Tomlin,A,120,4/4,3148428,2001,sixsteps Music,
,Forever (We Sing Hallelujah),"Brian Johnson, Christa Black Gifford",A,73,4/4,7001228,2013,Kari Jobe Carnes Music,
,Forgiven,"David Crowder, Ed Cash",B,76,4/4,7068806,2016,Alletrop Music,
,From The Inside Out,Joel Houston,C,76,4/4,4705176,2005,Hillsong Music Publishing Australia,
G,Glorious Day,"Kristian Stanfill, Jason Ingram",D,110,4/4,7081388,2017,Kristian Stanfill Publishing Designee,
,Glorious Day (Living He Loved Me),"John W. Chapman, Mark Hall",B,120,4/4,5638022,2009,My Refuge Music,
,God Of This City,"Aaron Boyd, Andrew McCann",C,80,4/4,5037070,2006,sixsteps Music,
,God Of Wonders,"Marc Byrd, Steve Hindalong",G,82,4/4,3118757,2000,Never Say Never Songs,
,Good Good Father,"Anthony Brown, Pat Barrett",A,48,6/8,7036612,2014,Capitol CMG Paragon,
,Gracefully Broken,"Matt Redman, Jonas Myrin",A,88,4/4,7091509,2017,Capitol CMG Genesis,
,Great Are You Lord,"David Leonard, Jason Ingram",A,144,6/8,6460220,2012,Â Integrity's Alleluia! Music,
,Great I Am,Jared Anderson,D,80,4/4,5881491,2011,Integrity Worship Music,
,Great Is Thy Faithfulness,"Thomas Chisholm, William Runyan",D,75,3/4,18723,1923,Public Domain,
,Great Is Thy Faithfulness (Beginning To End),"William Runyan, Thomas Chisholm",C,100,3/4,7109317,2018,Weave Country,
H,Hallelujah For The Cross,"Jeff Pardo, Ben Glover",D,75,4/4,7107551,2018,9t One Songs,
,Hallelujah For The Cross (Up To The Hill),"Ross King, Todd Wright",A,115,4/4,6550556,2012,Simple Tense Songs,
,He Reigns,"Peter Furler, Steve Taylor",G,94,4/4,4026635,2003,Soylent Tunes,
,Healer,Mike Guglielmucci,B,80,4/4,4873981,2007,Planetshakers Ministries Int. Inc.,
,"Heart Of Worship, The",Matt Redman,D,70,4/4,2296522,1999,Thankyou Music,
,Here Again,"Steven Furtick, Chris Brown",C,68,4/4,7111925,2018,Elevation Worship Publishing,
,Here For You,"Jesse Reeves, Matt Maher",G,85,4/4,5925649,2011,Chrysalis Music Ltd.,
,Here I Am To Worship,Tim Hughes,E,75,4/4,3266032,2000,Thankyou Music,
,Here Is Love,"Robert Lowry, William Rees",G,80,3/4,3287884,2004,Thankyou Music,
,Holy (Wedding Day),"Aaron Powell, Elias Dummer",A,57,4/4,6129798,2011,Thankyou Music,
,Holy Holy Holy,"John B. Dykes, Reginald Heber",D,,4/4,1156,1826,Public Domain,
,Hosanna,Carl Tuttle,G,120,4/4,21545,1985,Shadow Spring Music,
,Hosanna (I See The King Of Glory),Brooke Ligertwood,E,75,4/4,4785835,2006,Hillsong Music Publishing Australia,
,Hosanna (Praise Is Rising),"Brenton Brown, Paul Baloche",G,114,4/4,4662491,2006,Thankyou Music,
,How Deep The Father's Love For Us,Stuart Townend,D,54,4/4,1558110,1995,Thankyou Music,
,How Firm A Foundation,George Keith,G,64,2/2,107816,1787,Public Domain,
,How Great Is Our God,"Chris Tomlin, Ed Cash",C,76,4/4,4348399,2004,sixsteps Music,
,How Great Thou Art,Stuart W. K. Hine,B,48,4/4,14181,1953,Stuart Hine Trust,
I,I Can Only Imagine,Bart Millard,D,80,4/4,2978857,2002,Simpleville Music,
,I Know Whom I Have Believed,Daniel W. Whittle,C,96,4/4,31762,1883,Public Domain,
,I Lift My Hands,"Chris Tomlin, Louie Giglio",B,85,4/4,5869884,2010,sixsteps Music,
,I Stand Amazed (My Savior's Love),Charles H. Gabriel,G,106,4/4,25297,1905,Public Domain,
,I Stand In Awe,Mark Altrogge,A,76,4/4,23914,1987,Sovereign Grace Praise,
,I Surrender All,"Judson DeVenter, Winfield Weeden",D,74,4/4,23189,1896,Public Domain,
,I Will Follow,"Chris Tomlin, Jason Ingram",A,96,4/4,5806878,2010,SHOUT! Music Publishing Australia,
,I Will Rise,"Chris Tomlin, Jesse Reeves",B,82,4/4,5183450,2008,sixsteps Music,
,I Will Sing Of My Redeemer,"Travis Cottrell, Philip Paul Bliss",D,66,9/8,7074703,1876,Public Domain,
,I Will Sing The Wondrous Story,Francis H. Rawley,F,120,3/4,2328610,1886,Public Domain,
,I'll Fly Away,Albert E. Brumley,G,120,4/4,26399,1932,Hartford Music Company,
,In Christ Alone,"Keith Getty, Stuart Townend",D,60,3/4,3350395,2001,Thankyou Music,
,Indescribable,"Jesse Reeves, Laura Story",G,60,6/8,4403076,2004,Laura Stories,
,It Is Well (Grander Earth),"Kristene DiMarco, Horatio Spafford",G,65,3/4+4/4,7021972,2013,Bethel Music Publishing,
,It Is Well With My Soul,Horatio G. Spafford,C,,4/4,25376,1873,Public Domain,
J,Jesus I Am Resting,Jean Sophia Pigott,G,,4/4,148576,1876,Public Domain,
,Jesus Is Alive,"Michael Farren, Tiarne Tranter",C,65,6/8,7121850,2018,CityAlight Music,
,Jesus Messiah,"Chris Tomlin, Daniel Carson",B,86,4/4,5183443,2008,sixsteps Music,
,Jesus Paid It All,Elvina M. Hall,C,76,3/4,22331,1865,Public Domain,
,Jesus Son Of God,"Chris Tomlin, Jason Ingram",B,76,4/4,6223539,2012,S. D. G. Publishing,
,Just As I Am,Charlotte Elliot,C,86,6/4,23206,1835,Public Domain,
,Just As I Am (I Come Broken),"Charlotte Elliott, David Moffitt",A,73,3/4,5635850,2009,CCTB Music,
K,King Of Kings,"Brooke Ligertwood, Scott Ligertwood",D,68,4/4,7127647,2019,Hillsong Music Publishing Australia,
,King Of My Heart,"John M. McMillan, Sarah McMillan",A,68,4/4,7046145,2015,Meaux Jeaux Music,
,Knowing You (All I Once Held Dear),Graham Kendrick,C,54,4/4,1045238,1993,Make Way Music,
L,Lamb Of God,Twila Paris,C,52,3/4,16787,1985,Mountain Spring Music,
,Lay Me Down,"Chris Tomlin, Jason Ingram",C,130,4/4,6223577,2012,Atlas Mountain Songs,
,Lead Me To The Cross (Quiet I Come),Brooke Ligertwood,D,75,4/4,4785828,2006,Hillsong Music Publishing Australia,
,Like A River Glorious,James Mountain,F,,4/4,33935,1874,Public Domain,
,"Lion And The Lamb, The","Brenton Brown, Brian Johnson",B,90,4/4,7038281,2015,Meaux Mercy,
,Living Hope,"Phil Wickham, Brian Johnson",D,72,4/4,7106807,2017,Phil Wickham Music,
,Lord I Lift Your Name On High,Rick Founds,G,86,4/4,117947,1989,Universal Music,
,Lord I Need You,"Christy Nockels, Daniel Carson",B,74,4/4,5925687,2011,sixsteps Music,
,"Lord Is My Salvation, The","Jonas Myrin, Keith Getty",A,69,4/4,7063694,2016,Capitol CMG Paragon,
,"Lord Our God, The","Jason Ingram, Kristian Stanfill",C,72,4/4,6518055,2013,sixsteps Music,
,"Love Of God, The",Frederick M. Lehman,D,82,3/4,18448,1917,Public Domain,
M,Majesty,Jack Hayford,A,,4/4,1527,1981,New Spring,
,Majesty (Here I Am),"Martin Smith, Stuart Garrard",A,68,4/4,4219071,2004,Curious? Music UK,
,Man Of Sorrows,"Brooke Ligertwood, Matt Crocker",F,72,4/4,6476063,2012,Hillsong Music Publishing Australia,
,Mercy,"Matt Redman, Jonas Myrin",C,73,4/4,7000689,2013,Atlas Mountain Songs,
,Mighty To Save,"Ben Fielding, Reuben Morgan",A,74,4/4,4591782,2006,Hillsong Music Publishing Australia,
,Mine Eyes Have Seen The Glory (Battle Hymn),Julia W. Howe,G,90,4/4,24133,1862,Public Domain,
,Mountain,"Matt Crocker, Joel Houston",D,76,4/4,6428853,2012,Hillsong Music Publishing Australia,
,Mountain (You're Wonderful),"Bryan Torwalt, Katie Torwalt",B,91,4/4,7065990,2016,Phil Wickham Music,
,My Lighthouse,"Gareth Gilkeson, Chris Llewellyn",C,110,4/4,7002032,2013,Thankyou Music,
,My Redeemer Lives,Reuben Morgan,E,138,4/4,2397964,1998,Hillsong Music Publishing Australia,
N,Nearer My God To Thee,Sarah F. F. Adams,F,100,4/4,78835,1841,Public Domain,
,New Wine,Brooke Ligertwood,A,77,4/4,7102397,2017,Hillsong Music Publishing Australia,
,No Longer Slaves,"Jonathan D. Helser, Brian Johnson",A,74,4/4,7030123,2014,Bethel Music Publishing,
O,O Church Arise,"Keith Getty, Stuart Townend",D,58,3/4,4611992,2005,Thankyou Music,
,O Come To The Altar,"Chris Brown, Mack Brock",B,140,6/8,7051511,2015,Elevation Worship Publishing,
,O Praise The Name,"Benjamin Hastings, Dean Ussher",C,72,4/4,7037787,2015,Hillsong Music Publishing Australia,
,O The Deep Deep Love Of Jesus,Samuel T. Francis,Em,72,4/4,137178,1875,Public Domain,
,Oceans (Where Feet May Fail),"Joel Houston, Matt Crocker",D,60,4/4,6428767,2012,Hillsong Music Publishing Australia,
,Oh What Love,"Aaron Powell, Elias Dummer",D,70,4/4,7044259,2015,Thankyou Music,
,Once Again,Matt Redman,D,71,4/4,1564362,1995,Thankyou Music,
,One Thing Remains (Your Love Never Fails),"Brian Johnson, Christa B. Gifford",G,78,4/4,5508444,2010,ChristaJoy Music Publishing,
,Onward Christian Soldiers,Sabine B. Gould,F,96,4/4,47017,1865,Public Domain,
,Open The Eyes Of My Heart,Paul Baloche,E,112,4/4,2298355,1997,Integrity's Hosanna! Music,
,Our God (Water You Turned Into Wine),"Chris Tomlin, Jesse Reeves",B,105,4/4,5677416,2010,Atlas Mountain Songs,
P,"Power Of The Cross, The","Keith Getty, Stuart Townend",A,68,4/4,4490766,2005,Thankyou Music,
,"Power Of Your Love, The",Geoff Bullock,A,85,4/4,917491,1992,Geoff Bullock Music,
,Praise You In This Storm,"Bernie Herms, Mark Hall",F,84,4/4,4543620,2005,My Refuge Music,
R,Reckless Love,"Cory Asbury, Caleb Culver",F,56,6/8,7089641,2017,Cory Asbury Publishing,
,Resurrecting,"Chris Brown, Mack Brock",C,74,4/4,7051507,2015,Elevation Worship Publishing,
,Revelation Song,Jennie L. Riddle,D,60,4/4,4447960,2004,Gateway Create Publishing,
,Rooftops,"Lindsey Sweat, Ben Williams",E,100,4/4,5875153,2010,Capitol CMG Amplifier,
S,Scandal Of Grace,"Joel Houston, Matt Crocker",C,42,6/8,6428750,2012,Hillsong Music Publishing Australia,
,Seek Ye First,Karen Lafferty,C,120,4/4,1352,1972,CCCM Music,
,Shout To The Lord,Darlene Zschech,A,76,4/4,1406918,1993,Wondrous Worship,
,So Will I (100 Billion X),"Joel Houston, Benjamin Hastings",A,64,2/2,7084123,2017,Hillsong Music Publishing Australia,
,"Solid Rock, The",Edward Mote,F,82,3/4,25417,1834,Public Domain,
,"Stand, The",Joel Houston,A,77,4/4,4705248,2005,Hillsong Music Publishing Australia,
,Still (Hide Me Now),Reuben Morgan,C,70,4/4,3940963,2002,Hillsong Music Publishing Australia,
,Stronger,"Ben Fielding, Reuben Morgan",C,75,3/4,5060810,2007,Hillsong Music Publishing Australia,
,Sweetly Broken,Jeremy Riddle,B,96,4/4,4514635,2005,Mercy / Vineyard Publishing,
T,Take My Life And Let It Be,Frances R. Havergal,F,86,4/4,1390,1874,Public Domain,
,There Is A Fountain,William Cowper,A,92,4/4,27707,1772,Public Domain,
,There Is A Redeemer,Melody Green,D,92,4/4,11483,1982,Universal Music,
,This Is Amazing Grace,"Jeremy Riddle, Josh Farro",G,100,4/4,6333821,2012,Phil Wickham Music,
,This Is My Father's World,"Aaron Purdy, Franklin L. Sheppard",D,66,4/4,6167640,2009,Jennie Lee Riddle Music,
,Tis So Sweet To Trust In Jesus,Lousa M. R. Stead,G,90,4/4,22609,1882,Public Domain,
,To God Be The Glory,Fanny Jane Crosby,G,90,3/4,23426,1875,Public Domain,
,Tremble,"Andres Figueroa, Hank Bentley",C,74,4/4,7065049,2016,All Essential Music,
,Trust And Obey,John H. Sammis,F,96,3/4,22094,1887,Public Domain,
V,Victor's Crown,"Darlene Zschech, Israel Houghton",C,75,4/4,6454621,2013,Worship Together Music,
,Victory In Jesus (I Heard An Old Old Story),Eugene M. Bartlett,G,124,4/4,1259,1939,Public Domain,
W,Way Maker,Osinachi K. O. Egbu,E,68,4/4,7115744,2016,Integrity Music Europe,
,We Believe,"Matthew Hooper, Richie Fike",D,66,4/4,6367165,2015,Integrity Worship Music,
,What A Beautiful Name,"Ben Fielding, Brooke Ligertwood",D,68,4/4,7068424,2016,Hillsong Music Publishing Australia,
,What A Friend We Have In Jesus,"Charles Converse, Joseph Scriven",F,,4/4,27714,1855,Public Domain,
,When I Survey The Wondrous Cross,Isaac Watts,F,96,4/4,27893,1707,Public Domain,
,When The Roll Is Called Up Yonder,James M. Black,G,108,4/4,31315,1893,Public Domain,
,Who Am I,Mark Hall,B,66,4/4,4196651,2003,My Refuge Music,
,Who You Say I Am,"Ben Fielding, Reuben Morgan",A,58,6/8,7102401,2017,Hillsong Music Publishing Australia,
,Whom Shall I Fear (God Of Angel Armies),"Chris Tomlin, Ed Cash",C,75,4/4,6440288,2012,Alletrop Music,
,"Wonderful Cross, The","Chris Tomlin, Isaac Watts",D,88,4/4,3148435,2000,sixsteps Music,
,Wonderful Merciful Savior,"Dawn Rodgers, Eric Wyse",C,110,3/4,106879,1989,Curb Dayspring Music,
Y,Yet Not I But Through Christ In Me,"Jonny Robinson, Rich Thompson",C,75,4/4,7121852,2018,CityAlight Music,
,You Are God Alone (Not A God),"Billy J. Foote, Cindy Foote",A,70,4/4,4243463,2004,Billy Foote Music,
,You Are Holy (Prince Of Piece),"Marc Imboden, Tammi Rhoton",G,108,4/4,2332149,1994,Imboden Music,
,You Are My All In All,Dennis Jernigan,F,80,4/4,825356,1991,"Shepherd's Heart Music, Inc.",
,You Are My King (Amazing Love),Billy J. Foote,E,70,4/4,2456623,1996,worshiptogether.com songs,
,Your Grace Is Enough,Matt Maher,G,116,4/4,4477026,2003,Thankyou Music,
,Your Great Name,"Krissy Nordhoff, Michael Neale",C,75,4/4,5393329,2008,Integrity's Praise! Music,
,Your Love Never Fails,"Anthony Skinner, Chris McClarney",A,116,4/4,5337172,2008,Thankyou Music,
,Your Presence Is Heaven,"Israel Houghton, Micah Massey",D,66,4/4,6214751,2012,Integrity Worship Music,
