Title,Alt Title,CCLI#,Key
Oceans,,6428767,"D,D,G,G"
This Is Amazing Grace,,6333821,"G,Bb,Bb,A"
All the Poor and Powerless,,5881130,"A,A,B,B"
Lord I Need You,,5925687,"B,B,B,B"
In Christ Alone,Passion,3350395,"D,D,E,E"
"10,000 Reasons",,6016351,"G,G,G,G"
Whom Shall I Fear,God of Angel Armies,6440288,"C,C,C,C"
Hosanna,Praise is Rising,4662491,"G,G,A,A"
Mercy,,7000689,"C,C,C,C"
How Great Is Our God,,4348399,"C,C,C,C"
You Are My All In All,,825356,"F,F,G,G"
Our God,,5677416,"B,B,B,B"
Open the Eyes of My Heart,,2298355,"E,E,B,B"
Better Is One Day,,1097451,"E,E,E,E"
I Will Follow,,5806878,"A,Bb,G,G"
Shout to the Lord,,1406918,"A,A,B,B"
Before The Throne of God Above,,2306412,"D,D,Eb,D"
Beautiful One,,3915912,"D,D,Eb,D"
Blessed Be Your Name,,3798438,"B,B,B,B"
Here For You,,5925649,"G,Ab,C,C"
Here I Am To Worship,,3266032,"E,E,C,C"
Healer,,4873981,"B,B,A,A"
It Is Well,Hymn,25376,"C,C,Db,C"
Cornerstone,,6158927,"C,C,C,C"
Your Great Name,,5393329,"C,C,F#,F"
The Wonderful Cross,,3148435,"D,D,E,E"
Because He Lives,,16880,"G,Ab,A,A"
Revelation Song,,4447960,"D,D,E,E"
Great Is Thy Faithfulness,,18723,"D,D,E,E"
Forever,Sing Praise,3148428,"A,A,Bb,A"
One Thing Remains,,5508444,"G,Bb,Db,C"
Lead Me to the Cross,,4785828,"D,D,G,G"
Your Grace is Enough,,4477026,"G,G,G,G"
Hosanna,,4785835,"E,E,E,E"
Mighty to Save,,4591782,"A,A,C,C"
Everlasting God,,4556538,"A,Bb,B,B"
The Stand,,4705248,"A,A,B,B"
Indescribable,,4403076,"G,Bb,B,B"
Amazing Grace,My Chains Are Gone,4768151,"F,F,G,G"
Heart of Worship,,2296522,"D,D,G,G"
From The Inside Out,,4705176,"C,C,C,C"
Stronger,,5060810,"C,C,C,C"
Your Love Never Fails,,5337172,"A,Bb,Bb,A"
Majesty,,4219071,"A,Bb,C,C"
Jesus Messiah,,5183443,"B,B,B,B"
I Will Rise,,5183450,"B,B,B,B"
God of Wonders,,3118757,"G,Ab,Bb,G,G"
You Are My King,Amazing Love,2456623,"E,E,D,D"
How Deep the Father's Love for Us,,1558110,"D,D,F,F"
Scandal of Grace,,6428750,"C,C,C,C"
Forever,We Sing Hallelujah,7001228,"A,A,C,C"
Great Are You Lord,,6460220,"A,A,A,A"
Man of Sorrows,,6476063,"F,F,B,B"
O Come To The Altar,,7051511,"B,B,D,D"
Be Enthroned,,7054178,"C,Db,C,C"
Good Good Father,,7036612,"A,A,A,A"
No Longer Slaves,,7030123,"A,Bb,A,A"
At The Cross,Love Ran Red,7017786,"G,G,G,G"
Lion and The Lamb,,7038281,"B,B,A,A"
Ever Be,Guys,7030065,"D,D,A,A"
What A Beautiful Name,,7068424,"D,D,D,D"
The Lord Our God,,6518055,"C,C,B,B"
Even So Come,,7036288,"G,G,G,G"
Great I Am,,5881491,"D,D,C,C"
O Praise The Name,,7037787,"C,C,C,C"
Glorious Day,,7081388,"D,D,D,D"
King of My Heart,,7046145,"A,Bb,A,A"
Build My Life,,7070345,"G,G,G,G"
Death Was Arrested,,7046448,"B,B,B,B"
Reckless Love,,7089641,"F,F#,F#,F"
Christ Is Enough,,6514035,"B,B,B,B"
Tremble,,7065049,"C,C,C,C"
Resurrecting,,7051507,"C,Db,Db,C"
Do It Again,,7067555,"A,Bb,Bb,A"
Living Hope,,7106807,"D,Eb,Eb,D"
Who You Say I Am,,7102401,"A,A,F#,F"
So Will I,100 Billion X,7084123,"A,A,A,A"
It Is Well,,7021972,"G,G,F,F"
New Wine,,7102397,"A,Bb,C,C"
Broken Vessels,,7019974,"G,G,E,E"
Yet Not I But Through Christ in Me,,7121852,"C,C,B,B"
King of Kings,,7127647,"D,D,C,C"
Hallelujah For The Cross,,7107551,"D,D,C,C"
Another In the Fire,,7124907,"C,C,C,C"
Glorious Day,Living He Loved Me,5638022,"B,B,C,C"
What A Friend We Have In Jesus,,27714,"F,F,Bb,A"
I Surrender All,All I Am,23189,"D,D,C,C"
Tis So Sweet,,22609,"G,G,D"
How Great Thou Art,,14181,"B,Bb,D"
The Lord is My Salvation,,7063694,"A,A,C"
There Is A Fountain,Full of Love,27707,"Bb,B"
Power of the Cross,,4490766,"A,A,F"
Crown Him With Many Crowns,,23938,"D,D,Ab"
Angels We Have Heard On High,,27721,"F,F,G"
O Come All Ye Faithful,,31054,"G,G,G"
Go Tell It On The Mountain,,29080,"F,F,B"
O Holy Night,Vol. 1,32015,"C,C,C"
Joy To The World,,24016,"D,D,C"
Silent Night,,27862,"A,Bb,C"
The First Noel,Vol. 1,31047,"D,D,C"
O Come O Come Emmanuel,Vol. 1,31982,"Em,Em,G"
Come Thou Long Expected Jesus,,31999,"F,F,C"
Hark the Herald Angels Sing,,27738,"F,F,F"
O Little Town of Bethlehem,,27879,"F,F,F"
What Child Is This,,30983,"G,G,F#"
Away in a Manger,,38583,"F,F,F#"
It Came Upon A Midnight Clear,,31078,"G,Ab,Bb"
A Mighty Fortress Is Our God,,42964,"C,C"
Above All,,2672885,"A,A"
All Glory Be To Christ,,7008232,"E,E"
All Heaven Declares,,120556,"A,A"
All To Us,,5869860,"G,Ab"
Amazing Grace,,22025,"G,G"
Ancient Words,,2986399,"E,E"
And Can It Be,Amazing Love,25280,"G,G"
Are You Washed In The Blood,,21105,"G,Ab"
As The Deer,,1431,"D,D"
At The Cross,,29499,"D,Eb"
Be Thou My Vision,,30639,"D,Eb"
Behold Our God,,5937510,"C,C"
Behold The Lord,,1101763,"G,G"
Blessed Assurance,,22324,"D,D"
Break Every Chain,,5910977,"F,F#"
Build Your Kingdom Here,,6186078,"D,D"
Came To My Rescue,,4705190,"C,C"
Christ The Lord Is Risen Today,,27965,"C,C"
Christ The Lord Is Risen Today,He Is Not Dead,7019316,"C,C"
Come Now Is The Time To Worship,,2430948,"D,D"
Come Thou Fount,,108389,"D,D"
Crown Him,Majesty,6463818,"D,Db,Eb"
Days Of Elijah,,1537904,"A,Bb"
Death Where Is Your Sting,,7102440,"C,C"
Faithful,,5869877,"F,Gb"
Forgiven,,7068806,"B,B"
God Of This City,,5037070,"C,C"
Gracefully Broken,,7091509,"A,A"
Great Is Thy Faithfulness,Beginning To End,7109317,"C,C"
Hallelujah For The Cross,Up To The Hill,6550556,"A,Bb"
He Reigns,,4026635,"G,G"
Here Again,,7111925,"C,C"
Here Is Love,,3287884,"G,G"
Holy,Wedding Day,6129798,"A,Bb"
Holy Holy Holy,,1156,"D,D"
Hosanna,,21545,"G,G"
How Firm A Foundation,,107816,"G,Ab"
I Can Only Imagine,,2978857,"D,D"
I Know Whom I Have Believed,,31762,"C,Db"
I Lift My Hands,,5869884,"B,B"
I Stand Amazed,My Savior's Love,25297,"G,Ab"
I Stand In Awe,,23914,"A,A"
I Will Sing Of My Redeemer,,7074703,"D,Eb"
I Will Sing The Wondrous Story,,2328610,"F,F"
I'll Fly Away,,26399,"G,G"
It Is Well With My Soul,,25376,"C,C"
Jesus I Am Resting,,148576,"G,G"
Jesus Is Alive,,7121850,"C,C"
Jesus Son Of God,,6223539,"B,B"
Just As I Am,,23206,"C,Db"
Just As I Am,I Come Broken,5635850,"A,A"
Knowing You,All I Once Held Dear,1045238,"C,C"
Lamb Of God,,16787,"C,C"
Lay Me Down,,6223577,"C,C"
Like A River Glorious,,33935,"F,F"
Lord I Lift Your Name On High,,117947,"G,G"
"Love Of God, The",,18448,"D,D"
Majesty,,1527,"A,Bb"
Mine Eyes Have Seen The Glory,Battle Hymn,24133,"G,Bb"
Mountain,,6428853,"D,D"
Mountain,You're Wonderful,7065990,"B,B"
My Lighthouse,,7002032,"C,C"
My Redeemer Lives,,2397964,"E,E"
Nearer My God To Thee,,78835,"F,F"
O Church Arise,,4611992,"D,D"
O The Deep Deep Love Of Jesus,,137178,"Em,Em"
Oh What Love,,7044259,"D,D"
Once Again,,1564362,"D,Eb"
Onward Christian Soldiers,,47017,"F,F"
"Power Of Your Love, The",,917491,"A,Bb"
Praise You In This Storm,,4543620,"F,F#"
Rooftops,,5875153,"E,E"
Seek Ye First,,1352,"C,C"
"Solid Rock, The",,25417,"F,F"
Still,Hide Me Now,3940963,"C,C"
Sweetly Broken,,4514635,"B,B"
Take My Life And Let It Be,,1390,"F,F"
There Is A Redeemer,,11483,"D,D"
This Is My Father's World,,6167640,"D,D"
To God Be The Glory,,23426,"G,G"
Trust And Obey,,22094,"F,F"
Victor's Crown,,6454621,"C,C"
Victory In Jesus,I Heard An Old Old Story,1259,"G,G"
Way Maker,,7115744,"E,E"
We Believe,,6367165,"D,D"
When I Survey The Wondrous Cross,,27893,"F,F"
When The Roll Is Called Up Yonder,,31315,"G,Ab"
Who Am I,,4196651,"B,B"
Wonderful Merciful Savior,,106879,"C,C"
You Are God Alone,Not A God,4243463,"A,A"
You Are Holy,Prince Of Piece,2332149,"G,G"
Your Presence Is Heaven,,6214751,"D,D"
Angels From The Realms Of Glory,,31669,"A,Bb"
God Rest Ye Merry Gentlemen,,39441,"Em,Em"
Good Christian Men Rejoice,,85158,"F,F"
Mary Did You Know,,839225,"Cm,Cm"
We Three Kings,,38002,"G,G"
While Shepherds Watched,,32008,"C,C"
